iter	Passed	Remaining
274	27820	22762
275	27927	22665
276	28006	22546
277	28090	22431
278	28168	22312
279	28246	22193
280	28324	22075
281	28419	21969
282	28531	21877
283	28626	21771
284	28711	21659
285	28805	21553
286	28877	21432
287	28946	21307
288	29017	21185
289	29099	21072
290	29184	20960
291	29266	20847
292	29347	20733
293	29441	20628
294	29536	20525
295	29619	20413
296	29700	20300
297	29781	20187
298	29867	20078
299	29952	19968
300	30039	19859
301	30141	19761
302	30217	19646
303	30300	19535
304	30380	19423
305	30480	19324
306	30630	19256
307	30733	19158
308	30820	19050
309	30909	18944
310	30989	18832
311	31065	18719
312	31174	18624
313	31259	18517
314	31356	18415
315	31430	18301
316	31520	18196
317	31606	18089
318	31690	17981
319	31771	17871
320	31860	17766
321	31944	17659
322	32025	17549
323	32109	17442
324	32233	17356
325	32330	17256
326	32423	17153
327	32523	17055
328	32617	16953
329	32705	16848
330	32803	16748
331	32895	16646
332	32995	16547
333	33085	16443
334	33175	16340
335	33269	16238
336	33364	16137
337	33488	16050
338	33592	15954
339	33693	15855
340	33787	15754
341	33861	15643
342	33974	15550
343	34084	15457
344	34160	15347
345	34251	15245
346	34327	15135
347	34410	15029
348	34506	14929
349	34586	14822
350	34666	14716
351	34748	14610
352	34832	14505
353	34925	14404
354	35030	14308
355	35135	14211
356	35233	14113
357	35359	14025
358	35479	13934
359	35582	13837
360	35672	13735
361	35745	13626
362	35841	13526
363	35959	13435
364	36057	13336
365	36190	13250
366	36274	13145
367	36349	13038
368	36418	12928
369	36526	12833
370	36600	12726
371	36665	12616
372	36749	12512
373	36819	12404
374	36946	12315
375	37043	12216
376	37123	12111
377	37205	12008
378	37281	11902
379	37349	11794
380	37433	11691
381	37523	11591
382	37594	11484
383	37669	11379
384	37756	11278
385	37827	11171
386	37917	11071
387	37993	10967
388	38074	10864
389	38155	10761
390	38227	10656
391	38316	10556
392	38401	10455
393	38484	10353
394	38575	10254
395	38646	10149
396	38727	10047
397	38818	9948
398	38895	9845
399	38989	9747
400	39094	9651
401	39229	9563
402	39344	9470
403	39466	9378
404	39549	9277
405	39644	9178
406	39724	9077
407	39810	8976
408	39891	8875
409	39975	8775
410	40078	8678
411	40213	8589
412	40333	8496
413	40422	8396
414	40512	8297
415	40583	8194
416	40660	8093
417	40740	7992
418	40831	7893
419	40903	7791
420	40984	7690
421	41059	7589
422	41152	7491
423	41223	7389
424	41313	7290
425	41402	7191
426	41490	7093
427	41575	6993
428	41660	6894
429	41737	6794
430	41817	6694
431	41898	6595
432	41979	6495
433	42054	6395
434	42164	6300
435	42271	6204
436	42351	6105
437	42425	6005
438	42539	5910
439	42652	5816
440	42745	5718
441	42882	5627
442	42987	5531
443	43094	5435
444	43207	5340
445	43313	5244
446	43411	5147
447	43522	5051
448	43649	4957
449	43758	4862
450	43850	4764
451	43947	4666
452	44046	4569
453	44128	4471
454	44214	4372
455	44319	4276
456	44429	4180
457	44565	4086
458	44674	3990
459	44784	3894
460	44902	3798
461	44992	3700
462	45111	3605
463	45212	3507
464	45300	3409
465	45401	3312
466	45491	3214
467	45587	3117
468	45676	3019
469	45822	2924
470	45922	2827
471	46009	2729
472	46265	2640
473	46365	2543
474	46452	2444
475	46542	2346
476	46645	2249
477	46750	2151
478	46864	2054
479	46976	1957
480	47065	1859
481	47183	1762
482	47275	1663
483	47388	1566
484	47527	1469
485	47606	1371
486	47715	1273
487	47799	1175
488	47894	1077
489	47979	979
490	48061	880
491	48141	782
492	48202	684
493	48267	586
494	48331	488
495	48417	390
496	48493	292
497	48564	195
498	48653	97
499	48719	0
